T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
30.815 12.04 8.674 14.25 8.854 5.438 5.573 7.191 4.09 -4.27 -5.804 4.221 2.462 -1.169 3.596 0.08989
30.82 7.551 4.494 9.573 4.045 3.73 3.955 9.708 6.337 -3.011 -4.924 6.243 5.452 3.146 0.1798 4.674
30.825 1.169 -3.506 1.933 -0.6292 -1.393 -2.247 8.674 3.191 -3.461 -7.474 1.935 2.286 0.9888 -9.079 2.876
30.83 -6.472 -13.21 -5.258 -2.742 -8.494 -11.46 3.011 -4.315 -6.427 -14.51 -8.442 -5.452 -4.584 -22.65 -4.045
30.835 -14.29 -21.62 -10.74 -2.831 -14.56 -20.4 -6.921 -13.26 -10.16 -22.86 -19.79 -13.37 -8.809 -34.52 -11.96
30.84 -19.69 -26.29 -16.22 -4.135 -17.48 -26.47 -18.74 -21.35 -12.18 -27.17 -26.64 -17.94 -8.539 -38.74 -16.27
30.845 -19.96 -25.75 -22.11 -8.899 -16.76 -27.6 -27.78 -25.66 -11.46 -24.71 -25.76 -17.67 -4.674 -33.89 -15.46
30.85 -15.01 -20.04 -24.94 -14.56 -12.76 -21.98 -28.94 -22.79 -8.225 -16.8 -17.94 -13.1 -0.3596 -22.56 -11.33
30.855 -6.472 -10.11 -20.04 -15.6 -6.157 -9.978 -19.91 -12.54 -3.371 -6.595 -7.035 -6.859 2.337 -9.708 -6.652
30.86 3.416 2.112 -6.697 -8.18 1.753 4.315 -3.146 0.764 2.157 3.429 2.902 -0.8793 3.865 1.618 -2.427
30.865 12.49 13.8 10.43 5.618 9.169 16.27 15.33 12.81 7.91 12.22 11.08 5.452 6.382 11.96 3.326
30.87 17.35 21.39 24 18.79 14.79 23.33 28.9 21.98 13.35 19.79 19.43 13.63 11.24 23.19 12.13
30.875 16.54 23.28 28.27 23.6 17.98 25.44 34.07 27.55 17.48 26.29 28.49 22.86 16.81 34.88 22.38
30.88 12.22 20.36 22.79 17.62 18.7 23.01 31.6 28.31 18.56 30.25 35.17 29.02 20.13 42.7 29.84
30.885 7.82 15.01 12.36 5.528 17.17 17.62 24.99 24.67 15.87 29.55 35.61 28.84 19.51 41.89 31.19
30.89 3.416 8.809 3.506 -4.674 14.02 11.55 17.3 18.83 10.11 22.95 28.93 22.51 15.37 32 26.34
30.895 -1.438 2.607 -1.034 -8.315 9.753 5.753 9.753 11.96 3.73 12.66 17.5 13.1 9.978 17.44 18.52
30.9 -5.483 -2.966 -3.371 -7.011 4.494 -0.6742 2.562 3.685 -1.169 2.638 5.716 4.045 5.483 4.764 11.42
30.905 -6.652 -7.101 -5.618 -5.124 -1.034 -7.551 -3.101 -4.27 -3.506 -3.957 -2.198 -1.495 2.966 -2.067 7.191
30.91 -5.663 -9.034 -7.101 -4.854 -5.213 -12.31 -4.854 -7.281 -3.011 -6.419 -4.748 -1.935 2.247 -3.416 5.573
30.915 -4.315 -8.539 -5.798 -4.629 -6.382 -12.58 -1.618 -3.461 -0.5843 -5.716 -3.429 0.8793 2.427 -2.517 3.596
30.92 -3.865 -6.067 -2.472 -2.562 -4.584 -9.303 4.27 3.551 2.652 -3.693 -2.286 2.726 2.067 -3.416 -0.8989
30.925 -4.225 -3.146 -0.809 0.5393 -1.753 -4.719 7.73 7.82 5.303 -2.022 -3.693 0.9673 0 -6.921 -8
30.93 -5.663 -1.708 -4.404 1.079 0.2697 -0.6292 4.36 6.022 6.652 -1.847 -7.123 -4.573 -4.584 -10.97 -15.82
30.935 -7.91 -2.202 -13.26 -3.91 0.6292 1.798 -6.472 -2.157 6.157 -2.55 -10.73 -12.4 -10.88 -12.76 -22.38
30.94 -8.989 -3.416 -23.24 -13.12 -0.5393 1.393 -20.22 -14.34 3.371 -3.254 -12.75 -20.14 -17.08 -11.33 -26.43
30.945 -7.73 -3.91 -27.73 -20.81 -2.697 -1.978 -30.11 -24.63 -1.169 -3.957 -12.22 -24.45 -19.96 -7.64 -26.61
30.95 -5.843 -3.416 -22.61 -21.08 -4.989 -6.427 -31.46 -27.1 -6.112 -4.836 -8.617 -22.16 -17.53 -3.506 -22.47
30.955 -4.674 -2.427 -10.07 -13.39 -6.787 -10.07 -24.58 -21.3 -9.618 -5.716 -3.429 -14.07 -10.88 -0.4494 -15.01
30.96 -3.236 -1.573 2.652 -2.921 -7.91 -12.63 -13.75 -13.26 -10.83 -6.243 0.1759 -5.012 -3.955 0.2697 -6.742
30.965 -0.4494 -0.9888 9.483 4.045 -8.045 -13.75 -3.955 -8.539 -9.933 -6.419 -0.4397 0.3517 -0.2697 -1.978 -0.3596
30.97 1.348 -1.034 10.02 5.348 -6.652 -12.4 2.472 -7.281 -7.506 -6.595 -4.66 0.9673 -0.9888 -6.202 3.056
30.975 -0.9888 -1.483 7.91 3.865 -3.775 -8.449 5.528 -6.337 -5.124 -6.419 -9.497 -1.671 -4.225 -10.25 3.596
30.98 -6.382 -1.483 6.607 3.371 -0.809 -4.18 6.427 -3.685 -3.955 -5.364 -11.43 -4.045 -6.472 -11.87 2.607
30.985 -10.52 0.04494 7.191 5.393 0.6292 -1.348 6.112 1.573 -4.27 -3.429 -8.09 -2.814 -5.034 -9.258 2.966
30.99 -9.258 3.101 9.124 8.494 0.764 0.9888 5.663 9.348 -5.034 -0.5276 0.8793 3.605 -0.1798 -2.067 6.022
30.995 -2.157 7.191 10.97 10.2 1.303 4.36 5.978 17.21 -4 3.781 12.57 12.75 5.933 8.18 11.06
31 8.629 11.28 11.46 9.303 3.685 8.719 8.09 21.35 -0.4944 9.497 22.16 19.43 9.798 18.25 15.46
31.005 17.8 13.93 10.52 6.337 7.64 12.72 12.13 21.12 4.899 15.12 26.12 20.49 10.07 24.63 16.99
31.01 19.96 13.84 8.764 2.562 11.24 15.42 16.36 18.92 10.02 18.55 24.09 16.09 6.831 25.89 14.65
31.015 14.2 10.88 6.247 -1.348 12.4 15.46 17.08 15.69 12.85 18.47 16.88 7.826 1.079 21.93 8.18
31.02 5.753 6.157 1.753 -6.022 10.2 11.64 11.37 8.539 12.54 15.04 5.628 -2.902 -5.663 14.02 -0.809
31.025 0.4494 1.393 -4.899 -10.7 5.483 4.764 -0.4045 -4.27 9.888 9.497 -7.738 -13.98 -11.6 4.315 -9.798
31.03 -0.809 -3.011 -12.49 -13.62 0.8989 -1.573 -14.2 -19.51 7.011 3.693 -19.43 -22.07 -14.83 -4.674 -16
31.035 -1.438 -6.742 -19.1 -13.53 -1.663 -4.944 -24.81 -31.64 5.213 -0.7035 -26.56 -25.41 -14.11 -11.42 -18.52
31.04 -3.236 -9.483 -23.82 -11.78 -2.607 -5.888 -29.03 -37.17 3.775 -3.693 -28.14 -24.62 -10.07 -16.36 -18.43
31.045 -5.573 -10.88 -25.84 -10.83 -4 -6.517 -27.78 -34.83 0.809 -6.947 -25.5 -21.46 -5.034 -20.94 -17.62
31.05 -7.91 -11.28 -23.87 -11.69 -7.011 -7.64 -24.36 -25.98 -4.629 -11.87 -21.02 -17.41 -1.888 -25.53 -17.26
31.055 -9.258 -11.01 -17.62 -12.49 -10.97 -8.944 -22.16 -15.64 -11.6 -17.5 -16.97 -14.07 -2.427 -28.85 -17.71
31.06 -8.36 -10.07 -9.258 -10.83 -14.29 -10.43 -21.89 -9.978 -17.3 -21.28 -14.33 -12.22 -5.483 -28.49 -17.71
31.065 -4.494 -8.449 -2.067 -6.022 -15.6 -11.46 -21.44 -10.07 -19.82 -20.75 -12.22 -10.02 -7.91 -22.65 -14.83
31.07 0.3596 -6.382 2.337 0.5393 -14.16 -10.52 -18.16 -10.74 -18.11 -15.56 -8.442 -4.748 -6.562 -11.87 -8.09
31.075 4.135 -4.18 4.135 6.022 -10.25 -7.371 -11.01 -6.966 -13.17 -7.211 -2.55 4.045 -1.618 0.4494 0.7191
31.08 5.843 -1.933 4.944 9.169 -5.124 -3.236 -0.9888 1.528 -6.966 1.935 3.429 12.93 4.225 9.438 8
31.085 5.573 0.4045 7.236 11.33 0.04494 0.9888 10.11 11.69 -1.798 9.585 7.65 18.47 7.371 12.04 11.42
31.09 3.326 3.236 12.72 15.19 4.944 6.337 20.85 20.49 1.843 14.25 10.29 19.96 6.652 9.079 10.97
31.095 0.809 7.326 20.27 21.21 9.573 13.48 29.93 25.3 3.685 16.18 12.31 18.2 3.596 4.135 8.539
31.1 2.337 13.21 26.25 26.02 13.17 20.31 35.82 23.96 3.73 16 14.33 14.33 0.9888 0.2697 6.292
31.105 9.978 19.78 27.6 25.35 14.43 23.78 36.85 18.2 1.978 13.81 15.83 10.82 1.438 -1.079 6.022
31.11 19.06 23.51 23.91 17.84 12.54 22.52 32 12.99 -0.8539 10.02 16.36 9.497 5.034 -0.2697 7.91
31.115 21.48 21.3 16.72 6.157 7.82 16.85 22.16 11.28 -3.371 5.979 15.65 10.11 9.528 1.798 10.07
31.12 14.11 12.9 7.64 -4.899 1.303 8.09 10.34 11.15 -4.539 3.341 13.28 10.38 12.67 4.404 10.79
31.125 0.5393 1.708 -1.124 -11.55 -4.989 -0.8989 0.3596 9.663 -4.045 2.55 9.409 8.705 13.03 6.921 9.528
31.13 -11.42 -7.326 -6.876 -11.91 -8.494 -6.562 -5.528 5.843 -1.708 2.726 4.573 5.54 10.79 8.989 7.011
31.135 -15.1 -10.7 -7.64 -7.146 -7.191 -7.281 -7.73 0 1.978 2.638 -1.231 1.231 6.562 9.888 4.135
31.14 -8.899 -8.36 -4.494 -0.6742 -1.933 -5.303 -8.449 -7.416 6.022 2.11 -7.914 -3.781 1.438 8.719 0.9888
31.145 1.258 -3.955 -0.6292 3.775 4 -4 -9.798 -13.53 9.573 1.319 -13.81 -8.002 -2.607 5.843 -1.618
31.15 6.292 -2.337 0.809 4.045 6.966 -4.36 -11.69 -14.34 11.6 0.6155 -15.74 -8.793 -3.955 2.697 -2.697
31.155 1.169 -5.393 -1.663 -0.04494 4.899 -6.022 -12.72 -9.258 11.55 0.1759 -12.13 -6.067 -2.247 0.8989 -2.157
31.16 -9.258 -11.1 -7.146 -6.472 -1.303 -8.764 -11.33 -2.787 8.764 -0.6155 -5.452 -2.198 1.079 0 -1.169
31.165 -16.09 -15.1 -12.13 -11.55 -8.539 -11.42 -7.596 0.6292 3.775 -2.99 0.08793 0 3.685 -2.247 -0.809
31.17 -15.28 -14.7 -12.76 -11.87 -12.58 -11.96 -3.101 0.6292 -1.933 -7.035 1.759 0 3.506 -6.742 -1.438
31.175 -9.169 -9.978 -8.404 -7.416 -11.24 -9.483 -0.3146 -1.079 -6.607 -10.9 -0.6155 -1.583 0.6292 -12.49 -2.876
31.18 -2.607 -3.326 -2.472 -1.573 -6.112 -5.438 -0.2697 -3.596 -9.079 -12.4 -4.924 -3.517 -2.517 -16.63 -3.596
31.185 1.708 2.562 1.573 2.472 -0.9888 -1.933 -2.427 -5.573 -9.438 -10.82 -8.002 -3.957 -3.236 -16.36 -1.798
31.19 3.326 6.247 3.64 4.629 1.843 1.169 -4 -4.719 -8.449 -7.562 -7.211 -1.055 -0.6292 -10.79 2.966
31.195 4.225 8.404 6.157 7.596 2.742 4.674 -1.978 -0.4494 -6.292 -3.869 -2.198 4.221 3.236 -2.157 8.629
31.2 7.101 10.97 10.56 12.94 3.64 8.809 5.124 6.112 -3.146 -0.1759 4.836 8.705 5.393 5.483 11.6
31.205 12.13 14.61 15.96 18.65 5.978 13.48 15.87 14.02 0.764 3.869 11.96 10.99 4.584 8.989 10.34
31.21 15.19 17.98 19.82 20.18 9.528 18.38 26.07 23.24 5.169 8.354 18.03 11.78 2.157 8.539 6.112
31.215 13.3 18.43 19.24 14.34 12.13 21.84 30.56 30.7 9.348 12.84 21.81 11.78 0.3596 6.921 1.528
31.22 7.371 14.34 13.53 3.191 11.51 20.22 25.93 30.52 12.72 16 20.93 9.673 0.1798 6.202 -1.618
31.225 1.528 6.562 5.079 -7.011 7.416 12.4 13.03 19.91 14.47 15.83 14.51 4.924 0.7191 7.551 -2.697
31.23 -2.247 -2.247 -1.798 -9.933 2.652 1.753 -2.876 3.506 15.19 11.78 4.573 -1.231 0.6292 9.888 -1.978
31.235 -4.225 -8.854 -4.944 -5.124 0.4944 -6.876 -14.97 -10.92 15.37 5.716 -5.188 -6.507 -0.4494 12.04 -0.3596
31.24 -4.764 -10.97 -5.483 1.528 1.888 -10.7 -18.61 -17.84 15.28 0.2638 -11.43 -8.705 -0.9888 12.67 2.247
31.245 -3.685 -8.629 -5.618 3.551 4.584 -9.753 -13.66 -16.13 15.15 -2.99 -12.93 -6.507 0.9888 11.96 6.652
31.25 -2.247 -4.449 -5.663 0.1798 5.978 -5.798 -4.315 -8.18 14.7 -4.133 -10.11 -0.2638 5.303 10.79 12.04
31.255 -1.438 -1.348 -4.494 -3.73 4.764 -1.483 4 0.4045 14.65 -3.781 -5.452 6.243 9.169 10.25 16
31.26 -0.6292 -0.6292 -1.663 -3.011 1.933 0.5393 7.596 3.775 14.88 -2.286 -1.847 8.705 9.618 9.618 15.28
31.265 0.1798 -2.067 1.618 2.607 -0.809 -0.764 5.933 1.933 14.29 -0.7035 -0.5276 6.155 6.112 7.64 9.978
31.27 -0.6292 -5.034 3.551 8.18 -2.157 -3.685 1.348 -0.1798 11.64 -0.2638 -0.4397 2.286 1.798 3.596 3.146
31.275 -4.674 -8.854 2.337 7.506 -2.652 -6.652 -3.596 1.034 5.843 -1.935 -0.8793 0.5276 -0.4494 -2.787 -2.157
31.28 -10.25 -12.72 -2.831 -1.034 -4.315 -10.11 -7.281 3.236 -2.562 -5.979 -2.374 0.5276 0.08989 -11.15 -5.124
31.285 -14.11 -15.6 -9.933 -12.81 -8.27 -14.16 -9.303 2.112 -11.96 -11.96 -5.804 -0.7035 0.7191 -20.4 -7.551
31.29 -14.83 -16.49 -14.97 -20 -13.08 -17.08 -9.663 -3.416 -19.87 -18.29 -10.46 -5.452 -1.528 -28.85 -11.51
31.295 -12.67 -14.97 -15.33 -18.29 -15.73 -16.94 -8.494 -10.52 -24.27 -22.69 -14.68 -13.19 -7.371 -34.43 -17.35
31.3 -8.09 -10.97 -11.42 -10.11 -14.7 -14.02 -6.112 -15.82 -24.9 -23.13 -17.41 -20.84 -14.02 -35.96 -22.47
31.305 -1.708 -5.258 -5.618 -1.393 -10.88 -9.528 -2.876 -15.91 -22.7 -19.61 -17.32 -23.48 -17.17 -32.45 -23.1
31.31 4.135 0.5843 0.1798 3.236 -5.843 -3.82 0.4494 -9.169 -18.43 -13.37 -13.28 -18.29 -14.74 -23.73 -17.53
31.315 7.551 5.798 4.809 3.551 -0.764 2.966 3.146 0.7191 -12.67 -5.628 -5.716 -8.002 -8.899 -10.97 -8.629
31.32 9.348 10.25 7.551 2.157 4.09 9.258 4.674 6.966 -5.978 2.726 3.429 1.055 -3.506 3.236 -0.8989
31.325 11.15 13.98 8.09 1.843 8.404 13.53 5.034 6.337 0.2247 10.29 12.13 5.452 -0.6292 16.18 3.685
31.33 11.96 16.04 7.011 3.461 11.82 15.24 4.719 2.652 4.764 15.21 19.08 6.771 0.809 25.98 6.831
31.335 10.25 15.33 5.034 5.978 13.3 14.61 4.36 1.258 7.236 17.15 23.48 8.705 2.787 32.09 10.7
31.34 6.472 12.27 2.337 7.506 11.73 11.6 4.494 3.596 7.73 16.88 24.53 12.05 5.663 34.34 15.01
31.345 2.607 8.674 -0.1798 7.461 7.596 7.91 5.303 7.775 7.371 15.74 22.34 15.04 7.73 32.99 17.44
31.35 -0.5393 6.202 -0.8989 6.697 3.371 6.517 6.831 11.78 6.966 14.77 18.91 15.65 7.011 28.76 15.82
31.355 -2.966 5.573 0.9888 6.067 1.528 8.494 8.404 13.3 6.787 14.42 15.65 13.1 3.596 22.83 10.25
31.36 -4.225 6.202 4.045 5.348 2.337 11.42 8.989 10.83 6.067 14.25 13.28 8.354 0.3596 16.27 3.596
31.365 -3.865 6.652 6.067 3.551 4.135 12.22 7.64 5.888 4.09 12.75 11.61 4.133 0.08989 10.25 -0.2697
31.37 -2.697 5.798 5.933 0.8539 5.169 10.52 4.449 2.382 1.438 9.409 10.29 2.814 3.146 5.753 -0.2697
31.375 -1.348 3.865 3.73 -1.573 5.079 7.775 0.6292 1.573 -0.8539 4.66 8.09 2.814 6.292 1.888 0.7191
31.38 0.809 1.798 0.1348 -3.011 4.18 4.674 -2.427 0.3596 -2.607 -0.1759 3.078 0.3517 5.663 -2.876 -0.9888
31.385 3.685 -0.3146 -4.135 -3.64 2.382 0.6292 -4.045 -4.135 -4.225 -5.452 -5.892 -5.364 0.5393 -10.16 -6.112
31.39 4.045 -3.955 -8.27 -4.764 -1.034 -5.034 -5.124 -10.79 -6.831 -11.78 -17.15 -11.34 -6.472 -18.97 -11.96
31.395 -1.348 -10.34 -12.54 -7.596 -6.517 -12.63 -7.416 -17.39 -10.29 -19.17 -27.44 -14.86 -11.96 -26.61 -15.37
31.4 -10.97 -18.43 -17.44 -12.31 -13.62 -21.66 -12.18 -23.28 -13.84 -25.68 -34.12 -16 -14.02 -30.47 -15.73
31.405 -19.42 -24.99 -22.2 -17.03 -20.13 -29.66 -18.65 -27.42 -15.96 -29.55 -36.05 -16.53 -13.12 -30.11 -14.56
31.41 -23.01 -27.19 -23.96 -18.61 -23.19 -32.67 -24.27 -27.51 -16.04 -29.46 -33.5 -16.8 -10.88 -26.52 -13.21
31.415 -21.3 -24.54 -20.36 -15.06 -21.21 -29.44 -26.07 -22.43 -14.56 -25.68 -28.84 -16.27 -8.629 -21.93 -12.22
31.42 -15.82 -18.65 -12.36 -8.045 -15.91 -22.79 -23.01 -14.52 -12.67 -19.79 -24.36 -13.81 -6.382 -17.62 -10.88
31.425 -8.719 -11.96 -3.371 -1.169 -10.25 -16.18 -16.54 -6.202 -11.33 -13.63 -20.4 -8.881 -3.775 -13.75 -8
31.43 -2.697 -5.798 3.64 3.056 -5.978 -10.07 -9.169 1.438 -9.978 -8.354 -14.51 -1.671 -0.7191 -8.629 -3.596
31.435 1.798 0.08989 7.236 4.629 -2.427 -3.011 -2.876 7.101 -7.326 -3.166 -4.748 5.1 2.427 -1.618 0.9888
31.44 6.921 6.876 7.955 5.573 1.708 5.213 2.157 8.674 -3.101 3.254 8.266 8.881 5.663 6.292 4.854
31.445 13.66 14.25 7.596 7.506 6.427 13.3 6.921 6.742 1.573 10.46 21.1 10.11 9.708 13.12 8.36
31.45 19.33 20 8.045 10.25 10.56 19.69 12.13 5.438 5.213 16.97 30.6 11.7 14.47 17.8 12.13
31.455 20.04 21.84 9.213 11.6 12.85 23.19 16.99 7.191 7.011 21.02 34.38 14.25 18.16 20.22 14.92
31.46 16.27 19.91 9.124 9.618 12.85 22.92 19.33 10.16 7.461 22.25 31.66 15.21 17.89 20.76 14.29
31.465 11.42 16 6.652 4.854 11.15 19.51 17.8 11.51 7.73 20.93 24.18 12.31 12.76 19.24 9.438
31.47 7.73 11.73 3.191 0.4944 9.124 14.97 12.81 11.15 8.764 17.76 14.95 6.683 4.764 16.45 2.966
31.475 4.584 7.461 0.8989 -0.5843 7.596 10.34 6.607 9.618 10.79 13.81 6.507 1.143 -2.067 13.03 -1.169
31.48 1.618 2.787 0.3596 0.8539 6.157 4.809 1.483 6.876 12.85 9.936 0.2638 -2.022 -5.034 10.07 -0.6292
31.485 -0.6292 -1.798 0.6742 1.663 3.82 -1.483 -1.258 3.281 13.66 6.419 -3.693 -1.935 -3.955 8.09 3.775
31.49 -2.247 -5.169 0.7191 -0.4494 1.169 -5.843 -1.798 0.8539 12.58 3.166 -4.133 0.4397 -1.258 7.281 8.809
31.495 -2.427 -5.933 0.1348 -4.494 -0.2697 -5.438 -0.9438 0.08989 10.29 0.8793 -1.407 3.078 0.2697 6.292 10.7
31.5 0.08989 -3.64 -0.809 -7.461 -0.1348 -1.124 0.8989 -0.1798 7.506 -0.2638 2.462 3.781 -0.08989 3.596 8
31.505 4.404 0.2697 -1.169 -6.697 0.6292 3.416 3.236 -0.1798 4.719 -0.5276 5.276 2.814 -1.348 -1.798 2.787
31.51 7.101 2.921 0.1798 -2.607 0.5393 5.438 5.708 2.202 2.202 -1.143 5.188 1.583 -2.427 -8.18 -2.427
31.515 5.213 2.652 3.191 1.753 -1.079 3.551 7.056 7.146 -0.1348 -2.902 1.847 0.3517 -3.685 -12.94 -6.562
31.52 0.1798 -0.08989 5.798 3.056 -4.18 -2.247 5.888 10.83 -2.966 -5.892 -4.309 -2.638 -6.112 -15.1 -9.888
31.525 -4.404 -3.91 6.112 0.809 -8.36 -10.25 1.618 9.843 -6.337 -9.761 -11.87 -6.947 -9.618 -15.37 -12.13
31.53 -7.73 -7.955 3.82 -2.112 -12.54 -17.35 -4.764 4.764 -9.978 -13.98 -17.94 -9.761 -12.22 -14.92 -12.22
31.535 -11.06 -12.13 0.1348 -2.921 -15.28 -20.94 -10.92 -1.573 -12.27 -16.8 -20.58 -9.321 -12.31 -14.65 -9.798
31.54 -14.11 -15.37 -4.045 -1.528 -15.55 -20.99 -14.7 -7.236 -12.18 -16.8 -20.05 -6.771 -9.528 -14.29 -6.562
31.545 -14.47 -15.96 -7.191 -0.3596 -12.63 -17.89 -14.92 -10.2 -9.124 -13.81 -17.41 -4.66 -5.483 -12.85 -4.404
31.55 -10.7 -12.58 -7.326 -0.5843 -6.787 -11.73 -12 -8.404 -4.27 -9.057 -13.54 -4.045 -2.157 -9.169 -3.865
31.555 -3.685 -6.247 -3.865 -1.393 0.4045 -3.865 -7.236 -2.742 0.3596 -4.397 -9.233 -4.221 -0.1798 -3.596 -4.045
31.56 4.404 0.3146 1.169 -1.169 5.888 2.202 -2.472 2.876 2.697 -0.8793 -4.748 -4.221 1.079 1.888 -2.966
31.565 10.25 4.404 4.809 0.809 7.326 4.045 1.169 5.393 1.933 1.055 -0.08793 -2.374 2.427 5.124 0.1798
31.57 10.79 4.809 4.854 3.191 5.618 3.416 3.236 5.213 -0.809 2.11 5.276 1.319 4.135 5.393 4.135
31.575 7.011 3.64 1.708 3.64 4.584 4.315 4.315 3.281 -2.652 3.605 11.17 4.748 5.034 3.865 5.933
31.58 4.135 4.584 -2.742 1.348 6.921 8.899 4.944 -0.2247 -2.022 6.683 15.65 5.364 4.494 2.157 4.315
31.585 6.292 9.124 -5.393 -1.888 12.22 15.82 5.933 -4.315 1.213 10.9 17.32 3.693 3.506 1.888 1.438
31.59 11.51 14.97 -3.506 -2.697 17.3 22.34 7.865 -5.438 5.753 14.77 16.8 3.517 3.865 4.494 1.258
31.595 14.02 18.02 2.921 0.809 19.01 25.21 10.61 -1.303 10.16 17.15 15.92 7.211 6.382 9.618 5.124
31.6 11.33 16.67 10.47 6.876 16.4 22.74 13.53 5.933 13.3 18.11 15.74 12.66 10.07 15.64 10.97
31.605 6.292 12.81 15.6 11.87 11.6 16.67 15.73 12.4 14.83 17.76 16.36 16.44 12.58 20.58 15.28
31.61 2.966 9.843 17.08 13.89 8.225 11.64 16.58 15.69 14.97 16.36 17.5 16.62 12.49 23.55 16.09
31.615 3.416 9.573 15.64 13.21 8.18 10.56 15.73 14.43 14.07 14.68 18.29 13.19 9.798 24.9 14.11
31.62 6.742 11.42 12.09 11.06 10.2 11.91 13.21 8.404 12.76 13.63 17.85 7.65 5.843 25.08 11.51
31.625 9.618 12.76 6.607 7.73 11.51 12.67 9.393 0.5393 11.19 13.28 16.53 2.638 2.966 24.27 10.25
31.63 8.719 11.6 -0.08989 3.011 10.79 11.82 5.213 -3.91 9.483 13.1 15.83 0.5276 2.517 22.83 10.43
31.635 3.955 8.27 -7.191 -2.966 8.989 10.29 1.618 -2.382 7.685 12.57 16.18 1.231 4.045 20.22 10.25
31.64 -0.4494 4.674 -13.39 -8.899 7.146 8.36 -0.6292 1.888 5.303 11.08 16.27 2.55 6.022 15.82 8
31.645 -1.079 1.933 -16.99 -12.22 4.854 5.034 -1.798 4.09 1.483 7.562 13.45 2.198 6.022 8.989 3.775
31.65 -0.3596 -1.213 -16.13 -11.06 0.4045 -0.5393 -2.517 2.607 -3.82 0.9673 6.859 -0.08793 2.876 -0.3596 -1.618
31.655 -3.596 -6.697 -11.28 -5.753 -6.921 -8.719 -3.865 -1.708 -10.16 -8.178 -3.869 -4.485 -3.506 -11.69 -7.82
31.66 -12.31 -14.47 -5.438 0.4045 -16.67 -19.46 -6.921 -7.461 -16.31 -18.47 -17.5 -11.34 -10.97 -24.36 -14.83
31.665 -22.29 -22.07 -1.888 4.045 -26.16 -30.47 -11.6 -12.81 -21.62 -27.96 -31.57 -18.55 -16.36 -36.49 -21.66
31.67 -28.49 -26.56 -1.843 4.135 -31.87 -37.35 -16.94 -15.6 -24.72 -34.56 -41.77 -22.34 -17.08 -44.58 -25.35
31.675 -28.22 -26.47 -4.045 1.843 -31.19 -37.08 -21.48 -16.22 -24.09 -35.88 -44.67 -20.75 -13.66 -45.21 -23.82
31.68 -21.39 -22.25 -6.697 -1.034 -24.72 -30.61 -23.91 -18.07 -19.24 -30.51 -39.57 -15.74 -8.899 -37.12 -17.71
31.685 -10.97 -15.73 -8.09 -3.596 -14.92 -21.21 -23.51 -21.84 -10.79 -19.61 -28.49 -10.55 -6.292 -22.92 -9.528
31.69 -1.528 -9.213 -7.056 -5.079 -4.764 -11.19 -19.73 -23.73 -1.034 -6.419 -14.95 -6.859 -6.831 -7.281 -2.966
31.695 4.135 -3.91 -3.596 -5.034 3.506 -2.337 -12.99 -19.51 7.191 5.188 -2.726 -4.66 -9.169 4.854 0.08989
31.7 7.101 0.1798 0.4494 -3.596 8.449 3.865 -4.315 -9.438 11.37 12.66 5.012 -2.902 -9.798 10.7 0.4494
31.705 9.528 3.371 3.461 -1.438 9.798 6.787 4.27 2.382 10.74 15.04 8.266 0.5276 -6.382 11.15 1.528
31.71 11.06 5.573 5.124 0.6292 8.719 8.27 10.92 11.6 7.236 13.37 9.673 6.507 0.7191 9.348 5.663
31.715 10.07 6.921 5.888 2.067 7.551 10.07 13.8 14.61 3.64 10.2 11.61 12.31 8.27 8.36 11.87
31.72 7.191 8.315 5.618 2.157 7.326 11.78 12.45 10.02 1.618 7.65 13.63 13.72 12.4 8.629 16.09
31.725 5.124 10.43 4.225 0.9888 7.596 12.22 7.955 1.258 0.809 6.067 14.07 9.145 11.6 8.539 15.01
31.73 4.674 12.31 2.382 -0.5393 6.966 10.97 2.427 -4.584 0.04494 4.66 11.87 2.11 7.73 6.921 8.899
31.735 3.955 12.13 0.4494 -1.843 4.719 8.674 -2.022 -3.596 -1.303 3.254 7.826 -2.814 4.045 3.775 0.809
31.74 2.427 8.809 -1.663 -3.146 1.079 5.483 -4.27 1.438 -2.787 2.286 3.605 -3.517 3.056 0.3596 -5.303
31.745 0.3596 3.326 -4 -4.989 -2.517 2.067 -4.135 5.303 -3.596 1.759 1.055 -0.7914 4.944 -1.978 -7.011
31.75 -1.708 -2.157 -5.213 -6.607 -4 0.2247 -1.933 5.978 -3.281 1.495 1.143 3.166 7.191 -2.247 -4.494
31.755 -3.146 -5.213 -3.775 -6.652 -2.607 0.4045 1.483 4.629 -2.382 1.231 2.99 5.628 6.831 -0.7191 -0.7191
31.76 -2.607 -4.629 0.5393 -4.449 0.4045 1.124 5.753 2.876 -1.438 1.231 4.133 5.012 2.607 0.8989 1.528
31.765 0.4494 -1.169 6.652 -0.5843 3.011 1.124 10.34 2.921 -0.7191 1.583 3.166 2.902 -3.056 1.528 2.067
31.77 3.146 2.517 13.08 4.27 4.539 1.258 14.47 6.427 0.9438 2.286 0.8793 2.638 -6.202 1.169 2.427
31.775 2.966 4.404 17.66 9.258 5.753 3.281 17.21 12 4.315 3.781 -1.231 5.452 -4.674 0.6292 3.775
31.78 0.9888 4.225 18.29 13.21 7.236 6.382 17.44 15.01 9.034 5.628 -2.902 8.442 -0.1798 -0.08989 4.944
