T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
0.495 14.83 23.51 16.54 6.292 16.9 24 14.07 7.416 7.91 11.43 17.67 -0.7035 -0.2697 14.38 -4.315
0.5 16.81 29.21 30.74 15.19 21.57 31.15 26.56 23.42 9.034 14.25 22.16 8.53 4.045 18.34 1.978
0.505 18.43 29.8 33.71 19.1 23.33 32.67 34.2 29.66 10.83 16.88 25.32 18.11 9.798 20.85 10.52
0.51 18.7 25.03 26.38 17.93 22.38 29.12 36.09 28.72 13.53 19.26 27.87 27.52 16.63 21.03 18.79
0.515 17.08 17.26 15.06 14.07 19.73 22.88 33.98 26.38 15.91 21.1 29.46 35.35 22.83 18.88 24.18
0.52 14.11 9.888 6.292 9.708 15.55 16 30.25 25.93 16.22 21.19 28.4 39.48 26.34 15.1 25.62
0.525 9.258 4.18 3.191 6.022 10.11 9.978 25.84 26.65 13.21 18.03 23.3 38.6 25.71 10.61 23.82
0.53 1.888 -1.034 4.315 3.281 4.225 5.079 19.87 24.81 7.506 11.26 13.81 32.1 20.4 5.573 20.4
0.535 -6.652 -7.146 5.663 1.888 -1.663 -0.5393 11.55 16.9 1.079 2.198 1.055 20.49 11.69 -0.5393 15.91
0.54 -12.49 -13.84 4.539 1.753 -6.966 -8.899 2.067 3.416 -4.27 -7.386 -12.75 6.331 2.517 -8 10.97
0.545 -14.2 -19.51 1.978 2.562 -11.33 -18.61 -5.438 -8.854 -7.596 -15.65 -24.27 -5.628 -4.045 -15.64 6.831
0.55 -13.66 -22.29 0.8539 3.236 -13.39 -25.17 -8.315 -12.76 -8.989 -21.28 -30.07 -11.78 -6.831 -20.58 4.225
0.555 -12.4 -21.03 1.618 2.247 -12.54 -25.75 -6.742 -9.348 -9.169 -23.48 -29.72 -12.49 -6.652 -20.94 2.517
0.56 -9.348 -16.36 1.978 -0.809 -9.483 -21.66 -3.64 -6.202 -9.303 -22.42 -24.97 -10.99 -6.022 -16.9 0.9888
0.565 -4.494 -10.52 -0.04494 -4.225 -5.843 -15.82 -2.292 -8.539 -9.753 -19.35 -18.29 -10.38 -6.921 -11.15 -1.618
0.57 -0.1798 -6.202 -4 -5.124 -3.236 -10.56 -4.18 -14.2 -10.2 -15.74 -12.22 -11.7 -9.798 -6.652 -6.112
0.575 1.348 -4.719 -7.865 -2.787 -2.787 -7.64 -8.404 -17.75 -10.2 -12.49 -8.881 -14.51 -13.57 -6.292 -12.49
0.58 -0.1798 -5.753 -10.47 0.08989 -4.989 -8.09 -13.17 -15.64 -9.843 -10.29 -9.321 -17.06 -15.73 -10.43 -19.33
